id;full_name;phone;email;message;date_created;last_modified_date
1;Lead metrics;856-557-8541 x879;Joey.Grant@yahoo.com;../fake-data/blob/hipster.txt;2022-02-15T10:49:53;2022-02-16T02:37:40
2;capacitor Bypass;1-289-835-8342 x994;Orville_Mann@hotmail.com;../fake-data/blob/hipster.txt;2022-02-16T01:28:03;2022-02-16T08:44:03
3;Baby;(209) 322-0360;Geovanni11@hotmail.com;../fake-data/blob/hipster.txt;2022-02-15T14:12:51;2022-02-16T02:58:46
4;partnerships;372-924-9373 x17606;Terrill_Mayer@hotmail.com;../fake-data/blob/hipster.txt;2022-02-16T03:21:50;2022-02-15T23:27:04
5;Card Pants;884-529-9435;Marshall40@hotmail.com;../fake-data/blob/hipster.txt;2022-02-16T00:22:24;2022-02-16T03:27:46
6;deposit Response;616.278.6922 x9812;Retha.Bahringer@gmail.com;../fake-data/blob/hipster.txt;2022-02-15T23:40:22;2022-02-15T15:13:35
7;Upgradable e-markets;486.727.0542 x568;Alexandria_Zieme@gmail.com;../fake-data/blob/hipster.txt;2022-02-16T03:39:03;2022-02-16T08:40:33
8;capability;(560) 770-2748;Yazmin8@yahoo.com;../fake-data/blob/hipster.txt;2022-02-15T15:04:36;2022-02-16T05:54:21
9;Fresh withdrawal Colorado;1-230-358-6710 x665;Maurine94@yahoo.com;../fake-data/blob/hipster.txt;2022-02-15T21:37:22;2022-02-16T06:01:07
10;Regional;1-906-695-8889 x4564;Felton12@yahoo.com;../fake-data/blob/hipster.txt;2022-02-15T12:31:37;2022-02-15T17:39:52
